STATISTIC,Statistic Label,MonthID,Month,AuthorityID,Licensing Authority,Type of Fuel,UNIT,CarCount
TEM27C01,New Private Cars,202102,2021 February,12,Longford,Other fuel types,Number,
TEM27C01,New Private Cars,202102,2021 February,12,Longford,Petrol and electric hybrid,Number,20
TEM27C01,New Private Cars,202102,2021 February,12,Longford,Electric,Number,2
TEM27C01,New Private Cars,202102,2021 February,12,Longford,Petrol or Diesel plug-in hybrid electric,Number,1
TEM27C01,New Private Cars,202102,2021 February,12,Longford,Diesel and electric hybrid,Number,1
TEM27C01,New Private Cars,202102,2021 February,13,Louth,All fuel types,Number,306
TEM27C01,New Private Cars,202102,2021 February,13,Louth,Petrol,Number,107
TEM27C01,New Private Cars,202102,2021 February,13,Louth,Diesel,Number,117
TEM27C01,New Private Cars,202102,2021 February,13,Louth,Other fuel types,Number,
TEM27C01,New Private Cars,202102,2021 February,13,Louth,Petrol and electric hybrid,Number,53
TEM27C01,New Private Cars,202102,2021 February,13,Louth,Electric,Number,13
TEM27C01,New Private Cars,202102,2021 February,13,Louth,Petrol or Diesel plug-in hybrid electric,Number,9
TEM27C01,New Private Cars,202102,2021 February,13,Louth,Diesel and electric hybrid,Number,7
TEM27C01,New Private Cars,202102,2021 February,14,Mayo,All fuel types,Number,254
TEM27C01,New Private Cars,202102,2021 February,14,Mayo,Petrol,Number,64
